pofimage		pre-load/load/modify/display an image
poffill			draw filled or outlined
pofxml			load/create/parse/edit/save XML files
pofquad			texture quad warping
pofplane		textured rectangle
poffilm			movie player
poftouchable	block or transmit touch events to subsequent objects
pofshader		GLSL shader
poftouch		multi-touch management
pofaccel		receive accelerometer events
pofpath			draw parametrized path
pofvisible		draw or hide subsequent objects
poffont			load ttf fonts 
pofutil			miscellaneous utilities (among which file utils, file downloader...)
poftranslate	3d translation
pofhead			start drawing chain
poffonts		load ttf font (FontStash version)
pofresetmatrix	reset transformation (translate/rotate/scale) matrix
pofbang			get a bang each frame
poflayer		multiplex multiple layers 
pofcirc			draw a circle or ellipse
pofcolor		manipulate following objects color
poftext			draw text
pofrotate		rotate following tree
poftexts		draw text (FontStash version, buffered multi-line, optionally underlined)
pofscope		signal visualization 
pofwin			control global POF properties
pofsphere		draw textured sphere
poffbo			GL framebuffer
pofrect			draw (rounded) rectangle
pofdepthtest	allow depth test when drawing subsequent objects
poftextbox		text entry from user (mobile platform only)
pofscale		rescale subsequent objects
pofkeyboard		get keys events
poftexture		retrieve a previously computed texture
pofgetmatrix	request current transformation (translate/rotate/scale) matrix
pofjson			download/load/parse JSON files
